Model,MSO54
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.600000e-07
Record Length,81250
Zero Index,5745.281986
Vertical Units,A

TIME,CH3
-7.998851e-04,-2.343750e-02
-7.997251e-04,-5.859375e-01
-7.995651e-04,9.765625e-01
-7.994051e-04,6.484375e-01
-7.992451e-04,-1.171875e+00
-7.990851e-04,9.843750e-01
-7.989251e-04,-7.031250e-01
-7.987651e-04,3.671875e-01
-7.986051e-04,-5.781250e-01
-7.984451e-04,-2.601562e+00
-7.982851e-04,-3.125000e-02
-7.981251e-04,-1.726562e+00
-7.979651e-04,-1.984375e+00
-7.978051e-04,1.921875e+00
-7.976451e-04,1.210938e+00
-7.974851e-04,-1.500000e+00
-7.973251e-04,-4.062500e-01
-7.971651e-04,-1.320312e+00
-7.970051e-04,7.343750e-01
-7.968451e-04,-6.250000e-02
-7.966851e-04,1.796875e-01
-7.965251e-04,2.968750e-01
-7.963651e-04,3.828125e-01
-7.962051e-04,6.484375e-01
-7.960451e-04,2.265625e-01
-7.958851e-04,-1.968750e+00
-7.957251e-04,-6.093750e-01
